provincia,partido,localidad,suma_mb,count_suma_mb,adsl,cablemodem,dialup,fibraoptica,otros,satelital,wimax,wireless,total general,poblacion,telefoniafija,3g,4g,latitud,longitud
buenos aires,campana,alto los cardales,52.0,2.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,41.0,121.0,,,,,,
buenos aires,campana,barrio los pioneros,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,,,,,,
buenos aires,campana,campana,2726.0,14.0,2242.0,17445.0,1.0,8700.0,18.0,3.0,0.0,43.0,28452.0,,,,,,
buenos aires,campana,chacras del río luján,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,,,,,,
buenos aires,campana,lomas del río luján (est. río luján),39.0,5.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,,,,,
buenos aires,cañuelas,alejandro petión,967.0,12.0,206.0,830.0,7.0,0.0,0.0,0.0,0.0,42.0,1085.0,,,,,,
buenos aires,cañuelas,barrio belgrano-máximo paz,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,,,,,,
buenos aires,cañuelas,barrio el taladro,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,,,,,,
buenos aires,cañuelas,cañuelas,2057.0,14.0,1228.0,5116.0,33.0,2261.0,0.0,1.0,0.0,526.0,9165.0,,,,,,
buenos aires,cañuelas,gobernador udaondo,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,,,,,,
buenos aires,cañuelas,máximo paz,2260.0,10.0,0.0,2692.0,0.0,2.0,0.0,0.0,0.0,270.0,2964.0,,,,,,
buenos aires,cañuelas,santa rosa,235.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,233.0,235.0,,,,,,
buenos aires,cañuelas,uribelarrea,483.0,6.0,60.0,0.0,0.0,403.0,0.0,0.0,0.0,20.0,483.0,,,,,,
buenos aires,cañuelas,vicente casares,252.0,5.0,228.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,255.0,,,,,,
buenos aires,capitán sarmiento,capitán sarmiento,1414.0,10.0,180.0,4011.0,0.0,0.0,0.0,0.0,0.0,89.0,4280.0,,,,,,
buenos aires,capitán sarmiento,la luisa,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,,,,,,
buenos aires,carlos casares,cadret,49.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,49.0,,,,,,
buenos aires,carlos casares,carlos casares,2947.0,10.0,1425.0,9.0,8.0,1477.0,0.0,0.0,0.0,2461.0,5380.0,,,,,,
buenos aires,carlos casares,la sofía,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,1.0,1.0,-35.7003907357414,-61.1702865161871
buenos aires,carlos casares,mauricio hirsch,47.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,,,,,,
buenos aires,carlos casares,moctezuma,152.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,152.0,,,,,,
buenos aires,carlos casares,santo tomás,44.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,,,,,,
buenos aires,carlos casares,smith,191.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,191.0,,,,,,
buenos aires,carlos tejedor,carlos tejedor,1748.0,8.0,15.0,476.0,1.0,68.0,0.0,0.0,0.0,1188.0,1748.0,,,,,,
buenos aires,carlos tejedor,colonia seré,81.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0,,,,,,
buenos aires,carlos tejedor,curarú,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,,,,,,
buenos aires,carlos tejedor,timote,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,,,,,,
buenos aires,carlos tejedor,tres algarrobos  (est. cuenca),199.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,198.0,199.0,,,,,,
buenos aires,carmen de areco,carmen de areco,1671.0,11.0,388.0,1707.0,5.0,0.0,1.0,0.0,0.0,905.0,3006.0,,,,,,
buenos aires,carmen de areco,pueblo gouin,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,,,,,,
buenos aires,carmen de areco,tres sargentos,107.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,,,,,,
buenos aires,castelli,castelli,2327.0,13.0,67.0,1109.0,0.0,1121.0,0.0,2.0,0.0,28.0,2327.0,,,,,,
buenos aires,castelli,centro guerrero,49.0,6.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,3.0,49.0,,,,,,
