año,trimestre,provincia,accesos por cada 100 hogares,banda ancha fija,dial up,total,adsl,cablemodem,fibra óptica,wireless,otros,total_fijo_xtipo_tecnologia_provincia,mbps (media de bajada),total_internet_fijo_provincias,suma_mb,count_suma_mb
2021,1,neuquén,"66,84",132862.0,373,133235.0,30223,70457,14171,17752,632,133235.0,"34,24",133235.0,1651.0,9.0
2021,1,río negro,"60,88",140667.0,501,141168.0,48777,42192,17828,13994,18377,141168.0,"21,92",141168.0,628.0,8.0
2021,1,salta,"53,93",187572.0,2,187574.0,54768,89187,31498,5669,6452,187574.0,"27,32",187574.0,612.0,7.0
2021,1,san juan,"39,06",78011.0,256,78267.0,40072,11589,6671,11482,8453,78267.0,"6,91",78267.0,2758.0,16.0
2021,1,san luis,"81,24",119006.0,148,119154.0,8417,10678,28,63826,36205,119154.0,"21,59",119154.0,2828.0,14.0
2021,1,santa cruz,"41,65",45868.0,197,46065.0,12347,23089,5975,4264,390,46065.0,"7,5",46065.0,3993.0,17.0
2021,1,santa fe,"73,92",825990.0,137,826127.0,277012,421480,70976,39140,17519,826127.0,"28,13",826127.0,2579.0,14.0
2021,1,santiago del estero,"45,67",111640.0,1,111641.0,26468,75849,570,5158,3596,111641.0,"11,58",111641.0,5493.0,11.0
2021,1,tierra del fuego,"77,35",40133.0,289,40422.0,12853,27247,6,0,316,40422.0,"8,73",40422.0,2416.0,17.0
2021,1,tucumán,"54,82",231890.0,22,231912.0,147199,12185,69954,1834,740,231912.0,"37,98",231912.0,1556.0,15.0
2020,4,buenos aires,"68,98",4028195.0,5066,4033261.0,635651,2441248,804991,93444,57927,4033261.0,"50,01",4033261.0,2843.0,27.0
2020,4,capital federal,"108,31",1378140.0,1390,1379530.0,163060,1142528,39890,4815,29237,1379530.0,"67,33",1379530.0,771.0,19.0
2020,4,catamarca,"49,41",52395.0,1,52396.0,26870,5115,17856,322,2233,52396.0,"37,65",52396.0,2252.0,10.0
2020,4,chaco,"43,03",139088.0,3,139091.0,44332,61200,23687,7997,1875,139091.0,"32,45",139091.0,3629.0,11.0
2020,4,chubut,"68,35",129749.0,825,130574.0,45703,39756,3040,23363,18712,130574.0,"7,38",130574.0,3435.0,13.0
2020,4,córdoba,"78,08",902646.0,55,902701.0,267396,439322,125620,52827,17536,902701.0,"35,12",902701.0,1429.0,20.0
2020,4,corrientes,"42,43",125656.0,3,125659.0,50102,61495,3146,5626,5290,125659.0,"25,45",125659.0,696.0,3.0
2020,4,entre ríos,"59,47",247368.0,13,247381.0,85683,113670,15653,20206,12169,247381.0,"24,05",247381.0,110.0,6.0
2020,4,formosa,"32,49",50206.0,- 0,50206.0,21264,10789,2432,15341,380,50206.0,"19,7",50206.0,3392.0,10.0
2020,4,jujuy,"53,46",105851.0,- 0,105851.0,32850,52815,15639,1077,3470,105851.0,"25,21",105851.0,1076.0,11.0
2020,4,la pampa,"81,77",96779.0,116,96895.0,9009,58945,15432,12194,1315,96895.0,"9,88",96895.0,1240.0,13.0
2020,4,la rioja,"50,11",52775.0,3,52778.0,17513,34984,1,250,30,52778.0,"12,53",52778.0,1417.0,6.0
2020,4,mendoza,"38,63",214838.0,615,215453.0,91842,68364,36083,18331,833,215453.0,"11,09",215453.0,2621.0,12.0
2020,4,misiones,"42,64",147161.0,- 0,147161.0,49462,79855,6589,4359,6896,147161.0,"24,96",147161.0,1912.0,12.0
2020,4,neuquén,"67,0",132762.0,373,133135.0,30468,70614,13732,17689,632,133135.0,"33,91",133135.0,1673.0,10.0
2020,4,río negro,"61,09",140709.0,501,141210.0,48991,42022,17826,13994,18377,141210.0,"21,64",141210.0,629.0,8.0
2020,4,salta,"54,04",187388.0,2,187390.0,56659,87817,30604,5858,6452,187390.0,"25,32",187390.0,868.0,7.0
2020,4,san juan,"36,32",72340.0,256,72596.0,40072,7004,6599,10468,8453,72596.0,"6,41",72596.0,2310.0,16.0
2020,4,san luis,"81,68",119287.0,148,119435.0,8417,11767,27,63019,36205,119435.0,"21,25",119435.0,2050.0,11.0
2020,4,santa cruz,"37,0",40477.0,197,40674.0,12347,19657,1041,4659,2970,40674.0,"7,49",40674.0,2770.0,16.0
